VehicleID,LocationID,LicensePlate,Make,Model,Year,Category,Color,Mileage,FuelType,TransmissionType,Status,DailyRate,PurchasePrice,PurchaseDate,LastMaintenanceDate,NextMaintenanceDate,VIN,InsuranceExpiry,CreatedDate,ModifiedDate
24,5,LX12368,Lexus,LS,2024,Luxury,Black,8670,Hybrid,Automatic,Available,1649.00,1425000.00,2024-03-25,2024-12-15,2025-06-15,JTH1234567890146,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
25,4,LX12369,Porsche,Panamera,2023,Luxury,Blue,16890,Petrol,Automatic,Available,1899.00,1685000.00,2023-09-18,2024-09-01,2025-03-01,WP01234567890147,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
26,6,EL12370,Toyota,Yaris,2024,Economy,White,9560,Hybrid,Automatic,Available,329.00,205000.00,2024-04-10,2024-11-15,2025-05-15,1NX1234567890148,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
27,7,EL12371,Honda,Jazz,2023,Economy,Red,20780,Petrol,Manual,Available,289.00,175000.00,2023-07-22,2024-08-10,2025-02-10,JHM1234567890149,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
28,8,CO12372,Ford,Focus,2024,Compact,Blue,10890,Petrol,Automatic,Rented,389.00,275000.00,2024-05-18,2024-12-01,2025-06-01,WF01234567890150,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
29,10,CO12373,Opel,Astra,2023,Compact,Silver,18560,Petrol,Manual,Available,369.00,255000.00,2023-10-05,2024-09-20,2025-03-20,W0L1234567890151,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
30,11,MS12374,Toyota,Camry,2024,Mid-size,Black,12230,Hybrid,Automatic,Available,629.00,505000.00,2024-06-08,2024-12-10,2025-06-10,4T11234567890152,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
31,1,SU12375,BMW,X3,2024,SUV,White,11890,Diesel,Automatic,Available,799.00,625000.00,2024-04-28,2024-11-25,2025-05-25,WBA1234567890153,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
32,2,SU12376,Audi,Q5,2024,SUV,Black,9450,Petrol,Automatic,Available,849.00,665000.00,2024-08-15,2024-12-30,2025-06-30,WAU1234567890154,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
33,3,SU12377,Mercedes-Benz,GLC,2024,SUV,Silver,8890,Hybrid,Automatic,Rented,879.00,695000.00,2024-02-14,2024-12-05,2025-06-05,WDD1234567890155,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
34,4,SU12378,Volvo,XC60,2024,SUV,Blue,7340,Hybrid,Automatic,Available,829.00,635000.00,2024-12-20,2025-01-05,2025-07-05,YV11234567890156,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
35,5,SU12379,Range Rover,Evoque,2024,SUV,Green,6890,Petrol,Automatic,Available,1199.00,885000.00,2024-11-28,2025-01-15,2025-07-15,SAL1234567890157,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
36,1,EV12380,Tesla,Model 3,2024,Mid-size,White,5780,Electric,Automatic,Available,699.00,485000.00,2024-07-12,2024-12-20,2025-06-20,5YJ1234567890158,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
37,2,EV12381,BMW,iX3,2024,SUV,Black,4890,Electric,Automatic,Available,899.00,685000.00,2024-06-25,2024-12-05,2025-06-05,WBA1234567890159,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
38,6,EV12382,Audi,e-tron,2024,SUV,Silver,6450,Electric,Automatic,Available,949.00,725000.00,2024-05-30,2024-12-01,2025-06-01,WAU1234567890160,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
39,7,EV12383,Mercedes-Benz,EQC,2024,SUV,Blue,5670,Electric,Automatic,Rented,919.00,705000.00,2024-09-08,2025-01-25,2025-07-25,WDD1234567890161,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
40,9,EV12384,Volvo,XC40 Recharge,2024,SUV,Red,4670,Electric,Automatic,Available,789.00,585000.00,2024-06-18,2024-12-15,2025-06-15,YV11234567890162,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
41,1,PR12385,Porsche,Macan,2024,Premium,Black,3890,Petrol,Automatic,Available,1399.00,1085000.00,2024-10-22,2025-01-10,2025-07-10,WP11234567890163,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
42,2,PR12386,Maserati,Levante,2024,Premium,White,2890,Petrol,Automatic,Available,1699.00,1285000.00,2024-03-05,2024-11-20,2025-05-20,ZAM1234567890164,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
43,3,PR12387,Jaguar,F-Pace,2024,Premium,Blue,4780,Petrol,Automatic,Available,1299.00,985000.00,2024-07-18,2024-12-20,2025-06-20,SAJ1234567890165,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
44,6,PR12388,Land Rover,Discovery,2024,Premium,Green,3450,Diesel,Automatic,Available,1199.00,925000.00,2024-04-08,2024-12-01,2025-06-01,SAL1234567890166,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
45,7,PR12389,Alfa Romeo,Stelvio,2024,Premium,Red,5890,Petrol,Automatic,Rented,1149.00,885000.00,2024-11-28,2025-01-15,2025-07-15,ZAR1234567890167,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
46,15,EL12390,Renault,Clio,2024,Economy,Yellow,7890,Petrol,Manual,Available,289.00,175000.00,2024-08-15,2024-12-25,2025-06-25,VF11234567890168,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
47,16,EL12391,Fiat,500,2023,Economy,Pink,23450,Petrol,Manual,Available,269.00,155000.00,2023-05-10,2024-07-30,2025-01-30,ZFA1234567890169,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
48,17,CO12392,Mini,Cooper,2024,Compact,Orange,9670,Petrol,Automatic,Available,489.00,355000.00,2024-07-22,2024-12-10,2025-06-10,WMW1234567890170,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
49,18,CO12393,Alfa Romeo,Giulia,2023,Compact,Red,17890,Petrol,Automatic,Rented,529.00,385000.00,2023-12-05,2024-10-01,2025-04-01,ZAR1234567890171,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
50,19,MS12394,Saab,9-3,2023,Mid-size,Blue,20780,Petrol,Automatic,Available,579.00,445000.00,2023-08-30,2024-08-15,2025-02-15,YS31234567890172,NULL,2026-02-18 20:37:26.7166667,2026-02-18 20:37:26.7166667
